수업명,요일/시간,선생님,강의실,수업료,정원 ,학년,교재,시작일,종료일
초6 1반,월수금 15:30-17:00,김소연,본관 10강,"₩230,000",,초6,,,
중2 내신집중 3반(경우의수 확률),"화목 19:30-21:30
토 14:00-15:30",강정은 원장,본관 9강,"₩270,000",10,중2,"- 개념+유형 라이트 중학 수학 2-1
[3월~]
- 유형 해결의 법칙 중학 수학 2-1",,
고1 공통수학2 (선행),"금 21:30-23:00 (별7)
토 15:30-17:00 (본2)","김성은, 양소윤 원장","별관 7강, 본관 2강","₩210,000",10,고1,,,
고2 기하,토일 17:00-18:30,양소윤 원장,별관 7강,"₩210,000",,고2,,,
고2B 대수,"화 18:00-19:30
목 21:30-23:30
일 15:00-16:30",양소윤 원장,별관 7강,"₩350,000",,고2,,,
고1A 공통수학1,"수 21:30-23:30
일 11:30-13:00",양소윤 원장,별관 7강,"₩280,000",10,고1,,,
고2 대기고,"화 19:30-21:30
목 19:30-21:30
토 15:00-17:00
일 13:00-15:00",양소윤 원장,별관 7강,"₩560,000",,고2,,,
고3 모고반,토 12:00-15:00,양소윤 원장,별관 7강,"₩240,000",,고3,,,
중3 내신집중 1반,"월수 17:00-19:00
금 17:30-19:00",김성은,별관 5강,"₩270,000",10,중3,"- 개념+유형 라이트 중3-1
[3월~]
- 유형 해결의 법칙 중3-1",,
고2C1 대수,"월 19:30-21:00
수 19:30-21:30
금 19:30-21:00",김성은,별관 5강,"₩350,000",,고2,,,
고1B 공통수학1,"월 21:30-23:00 (별5)
수 21:30-23:30 (별5)
토 17:00-18:30 (본2)",김성은,"별관 5강, 본관 2강","₩350,000",10,고1,,,
중2 내신집중 2반,"화목 17:00-19:00 
토 12:30-14:00 
",김성은,본관 2강,"₩270,000",10,중2,"- 개념+유형 라이트 중학 수학 2-1
[3월~]
- 유형 해결의 법칙 중학 수학 2-1",,
"고3C 수1,수2",화목 19:30-21:30,김성은,본관 2강,"₩320,000",,고3,"  • 2027 수능대비 Xistory 자이스토리 고3 수학 1
  • 2027 수능대비 Xistory 자이스토리 고3 수학 2",,
고1C3 공통수학1,"화 21:30-23:00
목 21:30-23:30
토 14:00-15:30",김성은,본관 2강,"₩350,000",13,고1,,,
중1 내신집중 1반,"월수 17:00-19:00
금 17:30-19:00",양은영,본관 2강,"₩270,000",8,중1,,,
,,,,,,중1,,,
중2B,월수금 19:30-21:30,양은영,본관 2강,"₩300,000",10,중2,"- 유형 해결의 법칙 중학 수학 2-1
-  개념원리 RPM 중학 수학 2-1",,
고1C1 공통수학1,"월 21:30-23:00
수 21:30-23:30
금 21:30-23:00",양은영,본관 2강,"₩350,000",13,고1,,,
중1B,"화목 17:00-19:00
토 11:00-13:00",양은영,별관 8강,"₩300,000",9,중1,"- 유형 해결의 법칙 중학 수학 1-1
- 개념원리 RPM 중학 수학 1-1
[3월~]
-개념+유형 라이트 중학 수학 1-2
-개념원리 RPM 중학 수학 1-2",,
고1C2 공통수학1,"화 19:30-21:00
목 19:30-21:30
토 13:00-14:30",양은영,별관 8강,"₩350,000",13,고1,,,
고2C2 대수,"화 21:30-23:00
목 21:30-23:30
토 15:00-16:30",양은영,별관 8강,"₩350,000",,고2,,,
중2A,"월수금 17:00-19:00
",강정은 원장,본관 9강,"₩300,000",10,중2,"- 쎈 3-1
[3월~]
-개념+유형 라이트 중학 수학 3-2
-개념원리RPM 중학 수학 3-2",,
중3A,월수금 19:30-21:30,강정은 원장,본관 9강,"₩320,000",10,중3,,,
중1A,"화목 17:00-19:00
토 15:30-17:30",강정은 원장,본관 9강,"₩300,000",8,중1,"- 유형 해결의 법칙 중학 수학 2-1
- 개념원리 RPM 중학 수학 2-1",,
중2 내신집중 1반,"월수 17:00-19:00
금 17:00-18:30",이호준,본관 1강,"₩270,000",10,중2,"- 개념+유형 라이트 중학 수학 2-1
[3월~]
- 유형 해결의 법칙 중학 수학 2-1",,
중3B,월수금 19:30-21:30,허승주,본관 1강,"₩300,000",10,중3,,,
중3 내신집중 2반,"화목 19:30-21:30
토 15:00-16:30",허승주,본관 1강,"₩270,000",10,중3,"- 개념+유형 라이트 중3-1
[3월~]
- 유형 해결의 법칙 중3-1",,
중1 내신집중 2반 ,"화목 17:00-19:00
토 13:30-15:00",허승주,본관 1강,"₩270,000",6,중1,,,
중1 내신집중3반 (1/12 개강반),"월수 17:00-19:00
금 17:30-19:00
[4월~]
담당T 변경",김소연,본관 10강,"₩270,000",6,중1,,,
고3 미적분,수금 19:30-21:30,양소윤 원장,별관 7강,"₩320,000",,고3,,,
고3 확통,수금 18:00-19:30,양소윤 원장,별관 7강,"₩280,000",,고3,,,
